model,checkpoint,sintel-clean-val/epe,sintel-clean-val/px1,sintel-clean-val/px3,sintel-clean-val/px5,sintel-clean-val/flall,sintel-clean-val/wauc,sintel-final-val/epe,sintel-final-val/px1,sintel-final-val/px3,sintel-final-val/px5,sintel-final-val/flall,sintel-final-val/wauc,kitti-2015-val/epe,kitti-2015-val/px1,kitti-2015-val/px3,kitti-2015-val/px5,kitti-2015-val/flall,kitti-2015-val/wauc
neuflow2,things,1.264,0.898,0.956,0.969,4.177,86.57,2.768,0.845,0.916,0.936,8.055,81.833,4.065,0.63,0.83,0.88,14.516,63.994
pwcnet,things,2.643,0.801,0.909,0.934,8.811,76.522,4.059,0.749,0.871,0.904,12.591,72.106,10.288,0.452,0.662,0.731,33.015,48.053
pwcnet_nodc,things,3.329,0.724,0.88,0.917,11.638,68.192,4.768,0.675,0.843,0.885,15.416,64.448,12.273,0.414,0.633,0.704,36.11,43.996
raft,things,1.494,0.902,0.956,0.968,4.171,87.186,2.689,0.853,0.919,0.938,7.719,82.706,4.961,0.635,0.814,0.858,17.021,63.753
raft_small,things,2.116,0.849,0.93,0.95,6.688,81.492,3.262,0.807,0.897,0.923,9.931,77.869,7.46,0.52,0.741,0.8,24.652,54.975
rapidflow,things,1.574,0.885,0.95,0.964,4.729,85.213,2.895,0.836,0.91,0.933,8.576,80.768,5.872,0.621,0.807,0.852,17.719,62.764
rapidflow_it1,things,4.089,0.53,0.794,0.863,20.213,56.062,5.188,0.52,0.77,0.838,22.722,54.656,15.698,0.204,0.428,0.536,56.987,26.607
rapidflow_it2,things,2.762,0.731,0.884,0.922,11.123,71.421,3.963,0.704,0.85,0.891,14.561,68.752,11.138,0.358,0.614,0.699,37.791,41.915
rapidflow_it3,things,2.026,0.852,0.933,0.952,6.365,81.935,3.355,0.805,0.893,0.919,10.345,77.712,9.168,0.543,0.735,0.787,25.488,55.827
rapidflow_it6,things,1.685,0.879,0.946,0.961,5.117,84.601,2.996,0.83,0.906,0.929,9.009,80.157,6.766,0.606,0.788,0.834,19.855,61.211
rpknet,things,1.116,0.912,0.962,0.974,3.515,88.117,2.448,0.858,0.925,0.944,7.08,83.461,3.787,0.673,0.845,0.889,12.993,67.128
scopeflow,things,1.847,0.875,0.938,0.953,5.997,84.191,3.29,0.815,0.896,0.92,10.02,78.757,8.267,0.568,0.74,0.793,24.891,57.858
sea_raft_l,things,1.226,0.925,0.967,0.976,3.116,90.032,3.419,0.867,0.926,0.942,7.051,84.759,3.738,0.672,0.853,0.897,12.379,67.107
sea_raft_m,things,1.273,0.926,0.966,0.975,3.236,90.115,3.852,0.869,0.923,0.939,7.342,84.991,4.288,0.679,0.841,0.883,13.932,67.424
sea_raft_s,things,1.283,0.923,0.964,0.974,3.34,89.733,3.728,0.868,0.924,0.939,7.306,84.749,4.435,0.662,0.833,0.878,14.699,66.264
skflow,things,1.197,0.906,0.96,0.972,3.745,87.845,2.426,0.858,0.925,0.943,7.17,83.527,4.253,0.632,0.826,0.876,15.136,64.091
starflow,things,1.766,0.864,0.938,0.955,5.985,82.84,3.451,0.799,0.893,0.919,10.335,77.181,7.833,0.556,0.739,0.792,24.81,56.819
unimatch,things,1.495,0.839,0.941,0.96,5.564,79.212,2.955,0.791,0.902,0.929,9.412,75.196,10.347,0.417,0.654,0.728,33.545,46.387
unimatch_sc2,things,1.084,0.908,0.96,0.972,3.652,86.005,2.474,0.853,0.923,0.942,7.331,81.292,6.747,0.583,0.77,0.821,21.673,59.18
unimatch_sc2_ref6,things,0.908,0.931,0.969,0.977,2.9,89.861,2.74,0.87,0.928,0.946,6.752,84.388,4.92,0.674,0.822,0.862,16.001,66.424
vcn,things,2.206,0.839,0.924,0.945,7.302,80.384,3.69,0.78,0.882,0.911,11.394,75.193,8.119,0.555,0.74,0.796,24.958,56.668
vcn_small,things,2.759,0.753,0.898,0.929,9.877,72.097,4.316,0.708,0.857,0.895,13.87,68.19,8.878,0.432,0.671,0.747,31.808,47.26
