model,checkpoint,kitti_2012-trainval_val/epe,kitti_2012-trainval_val/px1,kitti_2012-trainval_val/px3,kitti_2012-trainval_val/px5,kitti_2012-trainval_val/outlier,kitti_2015-trainval_val/epe,kitti_2015-trainval_val/px1,kitti_2015-trainval_val/px3,kitti_2015-trainval_val/px5,kitti_2015-trainval_val/outlier,sintel_clean-trainval_val/epe,sintel_clean-trainval_val/px1,sintel_clean-trainval_val/px3,sintel_clean-trainval_val/px5,sintel_clean-trainval_val/outlier,sintel_clean-trainval_val/epe_occ,sintel_clean-trainval_val/epe_non_occ,sintel_clean-trainval_val/px1_occ,sintel_clean-trainval_val/px1_non_occ,sintel_clean-trainval_val/px3_occ,sintel_clean-trainval_val/px3_non_occ,sintel_clean-trainval_val/px5_occ,sintel_clean-trainval_val/px5_non_occ,sintel_clean-trainval_val/outlier_occ,sintel_clean-trainval_val/outlier_non_occ,sintel_clean-trainval_val/occ_wf1,sintel_final-trainval_val/epe,sintel_final-trainval_val/px1,sintel_final-trainval_val/px3,sintel_final-trainval_val/px5,sintel_final-trainval_val/outlier,sintel_final-trainval_val/epe_occ,sintel_final-trainval_val/epe_non_occ,sintel_final-trainval_val/px1_occ,sintel_final-trainval_val/px1_non_occ,sintel_final-trainval_val/px3_occ,sintel_final-trainval_val/px3_non_occ,sintel_final-trainval_val/px5_occ,sintel_final-trainval_val/px5_non_occ,sintel_final-trainval_val/outlier_occ,sintel_final-trainval_val/outlier_non_occ,sintel_final-trainval_val/occ_wf1
ext_hd3_ctxt,chairs,13.695,0.202,0.493,0.563,0.379,22.971,0.226,0.429,0.482,0.471,3.727,0.753,0.912,0.929,0.06,10.167,2.463,0.365,0.782,0.664,0.94,0.746,0.953,0.196,0.039,,5.792,0.627,0.859,0.884,0.102,12.77,4.474,0.297,0.648,0.603,0.886,0.685,0.907,0.25,0.081,
ext_hd3_ctxt,things,4.645,0.658,0.83,0.868,0.101,9.959,0.591,0.75,0.789,0.176,2.072,0.884,0.94,0.953,0.037,6.81,1.162,0.51,0.92,0.741,0.965,0.807,0.974,0.14,0.02,,4.421,0.806,0.882,0.903,0.08,11.506,3.071,0.406,0.839,0.622,0.909,0.697,0.928,0.236,0.059,
ext_hd3_ctxt,sintel,0.999,0.855,0.947,0.966,0.016,1.536,0.756,0.922,0.951,0.024,6.016,0.769,0.872,0.895,0.09,13.042,4.715,0.388,0.798,0.612,0.899,0.689,0.918,0.245,0.07,,7.858,0.708,0.828,0.86,0.119,15.296,6.503,0.354,0.732,0.569,0.853,0.65,0.882,0.278,0.099,
ext_hd3_ctxt,kitti,5.058,0.648,0.85,0.889,0.086,13.45,0.557,0.725,0.766,0.206,2.103,0.896,0.945,0.957,0.034,6.732,1.183,0.533,0.931,0.755,0.969,0.821,0.976,0.128,0.018,,1.737,0.868,0.934,0.952,0.034,5.236,1.148,0.512,0.899,0.744,0.956,0.818,0.97,0.12,0.021,
ext_irr_pwc,chairs_occ,3.9,0.567,0.81,0.87,0.085,10.712,0.491,0.688,0.75,0.201,2.326,0.856,0.926,0.944,0.043,7.533,1.336,0.459,0.89,0.692,0.953,0.771,0.966,0.164,0.025,0.74,3.942,0.802,0.883,0.909,0.071,9.987,2.827,0.411,0.832,0.63,0.909,0.711,0.931,0.213,0.052,0.71
ext_irr_pwc,things,3.544,0.663,0.842,0.886,0.076,9.475,0.556,0.726,0.778,0.179,1.857,0.87,0.936,0.952,0.035,6.285,1.039,0.492,0.904,0.722,0.96,0.797,0.972,0.141,0.02,0.75,3.397,0.81,0.893,0.918,0.063,8.546,2.455,0.435,0.839,0.661,0.917,0.741,0.939,0.187,0.046,0.73
ext_irr_pwc,sintel,2.585,0.738,0.895,0.928,0.045,7.964,0.625,0.784,0.823,0.141,1.858,0.89,0.944,0.957,0.033,6.198,1.065,0.536,0.923,0.749,0.966,0.814,0.975,0.131,0.019,0.77,2.447,0.849,0.916,0.937,0.047,6.669,1.719,0.502,0.878,0.718,0.938,0.789,0.955,0.147,0.033,0.76
ext_irr_pwc,kitti,1.128,0.844,0.946,0.966,0.018,1.518,0.798,0.923,0.95,0.025,7.437,0.765,0.856,0.88,0.101,15.704,5.594,0.398,0.792,0.614,0.88,0.69,0.901,0.241,0.083,0.71,8.168,0.716,0.82,0.849,0.128,15.446,6.731,0.372,0.739,0.582,0.841,0.662,0.868,0.266,0.111,0.69
ext_irr_pwcnet,things,5.974,0.538,0.774,0.834,0.121,14.701,0.451,0.635,0.695,0.258,3.087,0.82,0.907,0.929,0.055,9.114,1.959,0.395,0.856,0.645,0.936,0.734,0.953,0.193,0.035,,4.406,0.77,0.868,0.897,0.081,10.847,3.209,0.358,0.802,0.597,0.896,0.687,0.922,0.232,0.06,
ext_irr_pwcnet_irr,things,5.147,0.509,0.761,0.83,0.117,13.024,0.441,0.636,0.7,0.248,2.741,0.809,0.908,0.932,0.051,8.466,1.693,0.394,0.842,0.647,0.936,0.738,0.956,0.187,0.031,,4.044,0.755,0.867,0.9,0.076,10.094,2.964,0.357,0.784,0.598,0.894,0.691,0.924,0.226,0.057,
ext_pwcnet,things,5.551,0.496,0.741,0.81,0.136,12.669,0.406,0.626,0.699,0.244,3.358,0.721,0.88,0.916,0.06,9.625,2.172,0.27,0.755,0.55,0.915,0.679,0.946,0.219,0.036,,4.827,0.672,0.841,0.884,0.087,11.551,3.499,0.256,0.7,0.513,0.873,0.634,0.913,0.261,0.063,
ext_pwcnet,sintel,3.327,0.628,0.836,0.89,0.068,6.249,0.556,0.768,0.828,0.122,2.255,0.8,0.912,0.938,0.044,7.256,1.405,0.334,0.839,0.638,0.944,0.744,0.963,0.175,0.025,,2.82,0.759,0.882,0.916,0.06,7.799,1.982,0.316,0.793,0.604,0.911,0.713,0.94,0.196,0.041,
ext_pwcdcnet,things,4.582,0.528,0.774,0.841,0.108,10.994,0.442,0.652,0.721,0.221,2.676,0.796,0.906,0.933,0.049,7.877,1.701,0.367,0.831,0.647,0.935,0.747,0.956,0.174,0.03,,4.213,0.746,0.868,0.901,0.075,9.972,3.08,0.335,0.776,0.597,0.896,0.698,0.925,0.216,0.055,
ext_pwcdcnet,sintel,2.072,0.753,0.908,0.941,0.033,3.159,0.695,0.867,0.909,0.053,1.808,0.872,0.936,0.952,0.035,6.058,1.097,0.505,0.905,0.727,0.96,0.798,0.972,0.14,0.02,,2.328,0.835,0.912,0.935,0.048,6.634,1.601,0.471,0.865,0.697,0.935,0.773,0.954,0.157,0.033,
ext_raft,chairs,4.596,0.297,0.695,0.816,0.107,9.747,0.346,0.631,0.725,0.207,2.202,0.809,0.927,0.949,0.036,6.79,1.349,0.478,0.838,0.721,0.952,0.796,0.97,0.143,0.02,,4.296,0.732,0.881,0.909,0.071,10.029,3.217,0.406,0.756,0.657,0.905,0.736,0.93,0.198,0.053,
ext_raft,things,2.26,0.709,0.889,0.928,0.042,5.495,0.633,0.81,0.853,0.108,1.507,0.899,0.955,0.967,0.024,5.116,0.793,0.587,0.93,0.786,0.976,0.846,0.984,0.104,0.011,,3,0.847,0.913,0.933,0.052,7.624,2.115,0.524,0.875,0.725,0.935,0.79,0.951,0.153,0.037,
ext_raft,sintel,1.341,0.799,0.936,0.963,0.018,1.632,0.757,0.913,0.947,0.024,0.87,0.92,0.966,0.977,0.016,3.273,0.439,0.643,0.948,0.825,0.984,0.878,0.99,0.076,0.006,,1.571,0.879,0.939,0.957,0.03,4.648,1.041,0.589,0.905,0.782,0.958,0.842,0.972,0.104,0.019,
ext_raft,kitti,1.271,0.814,0.941,0.965,0.018,0.779,0.858,0.958,0.978,0.008,4.687,0.802,0.894,0.917,0.066,10.993,3.46,0.43,0.833,0.65,0.92,0.725,0.94,0.206,0.047,,6.293,0.755,0.853,0.882,0.096,13.709,4.842,0.401,0.782,0.609,0.877,0.684,0.903,0.245,0.078,
ext_raft_small,things,3.618,0.603,0.832,0.882,0.078,8.633,0.522,0.729,0.786,0.169,2.191,0.845,0.927,0.947,0.039,6.991,1.312,0.443,0.88,0.692,0.954,0.779,0.969,0.152,0.022,,3.549,0.8,0.889,0.915,0.065,9.017,2.566,0.399,0.831,0.64,0.915,0.729,0.937,0.195,0.047,
ext_scopeflow,chairs,4.096,0.596,0.817,0.875,0.084,11.975,0.491,0.678,0.739,0.214,2.569,0.861,0.925,0.941,0.046,7.896,1.561,0.46,0.897,0.689,0.952,0.765,0.964,0.171,0.028,0.74,3.95,0.812,0.886,0.909,0.073,9.882,2.884,0.415,0.843,0.634,0.913,0.714,0.931,0.214,0.054,0.71
ext_scopeflow,things,3.466,0.671,0.849,0.892,0.072,9.784,0.556,0.725,0.775,0.182,1.832,0.872,0.936,0.953,0.035,6.235,1.024,0.491,0.906,0.722,0.961,0.797,0.973,0.141,0.019,0.75,3.269,0.813,0.895,0.92,0.062,8.326,2.365,0.435,0.843,0.662,0.919,0.742,0.941,0.185,0.045,0.73
ext_scopeflow,kitti,1.002,0.852,0.95,0.969,0.015,1.337,0.81,0.933,0.958,0.021,8.111,0.753,0.847,0.872,0.109,15.348,6.695,0.389,0.779,0.606,0.87,0.681,0.893,0.252,0.091,0,10.458,0.705,0.811,0.841,0.135,16.912,9.423,0.361,0.727,0.572,0.832,0.651,0.86,0.278,0.119,0
ext_scopeflow,sintel,2.076,0.749,0.905,0.939,0.036,6.085,0.646,0.813,0.853,0.109,1.63,0.895,0.947,0.96,0.03,5.769,0.885,0.544,0.927,0.753,0.969,0.818,0.978,0.127,0.016,0.78,2.461,0.85,0.917,0.938,0.046,6.752,1.721,0.507,0.879,0.718,0.939,0.789,0.956,0.149,0.032,0.76
ext_vcn,chairs,4.444,0.518,0.793,0.86,0.091,10.773,0.436,0.659,0.732,0.21,2.801,0.805,0.91,0.934,0.05,8.456,1.748,0.397,0.839,0.657,0.939,0.745,0.958,0.184,0.03,,3.96,0.751,0.873,0.905,0.072,10.07,2.862,0.36,0.78,0.608,0.901,0.701,0.93,0.219,0.051,
ext_vcn,things,3.466,0.647,0.84,0.89,0.071,8.627,0.541,0.728,0.785,0.168,2.494,0.822,0.913,0.936,0.047,7.611,1.573,0.398,0.858,0.664,0.941,0.755,0.96,0.172,0.028,,3.966,0.761,0.87,0.901,0.076,9.651,2.969,0.36,0.791,0.61,0.897,0.703,0.924,0.214,0.057,
ext_vcn,sintel,2.209,0.714,0.883,0.923,0.043,4.314,0.608,0.8,0.857,0.088,1.595,0.867,0.936,0.954,0.032,5.63,0.918,0.435,0.906,0.707,0.963,0.795,0.975,0.135,0.017,,2.251,0.823,0.908,0.933,0.047,6.463,1.571,0.405,0.857,0.67,0.934,0.764,0.954,0.157,0.032,
ext_vcn,kitti,1.141,0.842,0.944,0.965,0.017,1.455,0.786,0.921,0.951,0.021,5.934,0.769,0.851,0.874,0.107,12.216,4.805,0.371,0.799,0.594,0.876,0.676,0.896,0.25,0.088,,9.196,0.691,0.791,0.819,0.159,15.38,8.035,0.335,0.715,0.548,0.813,0.63,0.839,0.293,0.142,
ext_vcn_small,chairs,5.656,0.334,0.682,0.795,0.129,13.18,0.314,0.565,0.664,0.261,3.217,0.724,0.882,0.918,0.059,9.147,2.119,0.326,0.753,0.606,0.913,0.709,0.944,0.204,0.037,,4.297,0.683,0.848,0.891,0.08,10.369,3.214,0.303,0.709,0.566,0.876,0.671,0.916,0.235,0.059,
ext_vcn_small,things,4.248,0.485,0.766,0.842,0.101,9.692,0.411,0.651,0.728,0.208,4.8,0.728,0.868,0.902,0.075,9.585,3.931,0.306,0.758,0.604,0.896,0.71,0.926,0.205,0.056,,5.247,0.687,0.844,0.884,0.088,10.705,4.299,0.286,0.714,0.565,0.871,0.67,0.907,0.237,0.069,
